dataset,algorithm,k,m,alpha,sim_top_100,sim_top_1000,sim_top_10000,sim_all
block_2500_4,EdgeSketch,2,10,0.3,1.0,1.0,0.6732,0.1381
block_2500_4,EdgeSketch,3,10,0.3,1.0,1.0,0.5124,0.2015
block_2500_4,EdgeSketch,4,10,0.3,1.0,1.0,0.5124,0.2015
block_2500_8,EdgeSketch,2,10,0.3,1.0,1.0,0.6368,0.0912
block_2500_8,EdgeSketch,3,10,0.3,1.0,1.0,0.5198,0.2361
block_2500_8,EdgeSketch,4,10,0.3,1.0,1.0,0.5198,0.2361
block_5000_2,EdgeSketch,2,10,0.3,1.0,1.0,0.9997,0.253
block_5000_2,EdgeSketch,3,10,0.3,1.0,1.0,0.9995,0.2532
block_5000_2,EdgeSketch,4,10,0.3,1.0,1.0,0.9995,0.2532
block_5000_4,EdgeSketch,2,10,0.3,1.0,1.0,0.9998,0.1317
block_5000_4,EdgeSketch,3,10,0.3,1.0,1.0,0.9998,0.144
block_5000_4,EdgeSketch,4,10,0.3,1.0,1.0,0.9998,0.144
block_5000_8,EdgeSketch,2,10,0.3,1.0,1.0,0.9999,0.0774
block_5000_8,EdgeSketch,3,10,0.3,1.0,1.0,0.7622,0.1365
block_5000_8,EdgeSketch,4,10,0.3,1.0,1.0,0.7622,0.1365
blogcatalog,EdgeSketch,2,10,0.3,1.0,1.0,0.7757,0.0343
blogcatalog,EdgeSketch,3,10,0.3,1.0,1.0,0.7649,0.0377
blogcatalog,EdgeSketch,4,10,0.3,1.0,1.0,0.7649,0.0377
dblp,EdgeSketch,2,10,0.3,1.0,1.0,1.0,0.4453
dblp,EdgeSketch,3,10,0.3,1.0,1.0,0.7684,0.3214
dblp,EdgeSketch,4,10,0.3,1.0,1.0,0.6666,0.2927
weighted_10000_0005,EdgeSketch,2,10,0.3,1.0,1.0,1.0,0.5505
weighted_10000_0005,EdgeSketch,3,10,0.3,1.0,1.0,0.94,0.6125
weighted_10000_0005,EdgeSketch,4,10,0.3,1.0,1.0,0.9207,0.6073
weighted_10000_001,EdgeSketch,2,10,0.3,1.0,1.0,1.0,0.3721
weighted_10000_001,EdgeSketch,3,10,0.3,1.0,1.0,0.9671,0.4235
weighted_10000_001,EdgeSketch,4,10,0.3,1.0,1.0,0.9714,0.4275
weighted_10000_005,EdgeSketch,2,10,0.3,1.0,1.0,1.0,0.0989
weighted_10000_005,EdgeSketch,3,10,0.3,1.0,0.941,0.3344,0.0581
weighted_10000_005,EdgeSketch,4,10,0.3,1.0,0.941,0.3344,0.0581
weighted_10000_01,EdgeSketch,2,10,0.3,1.0,1.0,1.0,0.0583
weighted_10000_01,EdgeSketch,3,10,0.3,1.0,1.0,1.0,0.05
weighted_10000_01,EdgeSketch,4,10,0.3,1.0,1.0,1.0,0.05
weighted_1000_0005,EdgeSketch,2,10,0.3,1.0,0.223,0.0223,0.9449
weighted_1000_0005,EdgeSketch,3,10,0.3,1.0,0.219,0.0219,0.928
weighted_1000_0005,EdgeSketch,4,10,0.3,1.0,0.219,0.0219,0.928
weighted_1000_001,EdgeSketch,2,10,0.3,1.0,0.424,0.0424,0.8778
weighted_1000_001,EdgeSketch,3,10,0.3,1.0,0.414,0.0414,0.8571
weighted_1000_001,EdgeSketch,4,10,0.3,1.0,0.405,0.0405,0.8385
weighted_1000_005,EdgeSketch,2,10,0.3,1.0,1.0,0.1413,0.5537
weighted_1000_005,EdgeSketch,3,10,0.3,1.0,0.947,0.1482,0.5807
weighted_1000_005,EdgeSketch,4,10,0.3,1.0,0.938,0.1476,0.5784
weighted_1000_01,EdgeSketch,2,10,0.3,1.0,1.0,0.1887,0.375
weighted_1000_01,EdgeSketch,3,10,0.3,1.0,0.938,0.1839,0.3655
weighted_1000_01,EdgeSketch,4,10,0.3,1.0,0.841,0.1577,0.3134
weighted_2500_0005,EdgeSketch,2,10,0.3,1.0,1.0,0.1295,0.8382
weighted_2500_0005,EdgeSketch,3,10,0.3,1.0,1.0,0.1193,0.7722
weighted_2500_0005,EdgeSketch,4,10,0.3,1.0,1.0,0.1143,0.7398
weighted_2500_001,EdgeSketch,2,10,0.3,1.0,1.0,0.2236,0.7255
weighted_2500_001,EdgeSketch,3,10,0.3,1.0,1.0,0.2222,0.721
weighted_2500_001,EdgeSketch,4,10,0.3,1.0,1.0,0.2194,0.7119
weighted_2500_005,EdgeSketch,2,10,0.3,1.0,1.0,0.4989,0.3169
weighted_2500_005,EdgeSketch,3,10,0.3,1.0,0.998,0.4304,0.2834
weighted_2500_005,EdgeSketch,4,10,0.3,1.0,0.99,0.3807,0.2697
weighted_2500_01,EdgeSketch,2,10,0.3,1.0,1.0,0.5631,0.1871
weighted_2500_01,EdgeSketch,3,10,0.3,1.0,0.808,0.2372,0.1301
weighted_2500_01,EdgeSketch,4,10,0.3,1.0,0.808,0.2372,0.1301
weighted_5000_0005,EdgeSketch,2,10,0.3,1.0,1.0,0.4527,0.7284
weighted_5000_0005,EdgeSketch,3,10,0.3,1.0,1.0,0.4417,0.7107
weighted_5000_0005,EdgeSketch,4,10,0.3,1.0,1.0,0.4341,0.6985
weighted_5000_001,EdgeSketch,2,10,0.3,1.0,1.0,0.6884,0.5555
weighted_5000_001,EdgeSketch,3,10,0.3,1.0,1.0,0.6971,0.6129
