dataset,algorithm,k,m,alpha,sim_top_100,sim_top_1000,sim_top_10000,sim_all
block_2500_2,NodeSketch,2,64,0.3,0.6,0.534,0.5298,0.5069
block_2500_2,NodeSketch,2,128,0.3,0.55,0.528,0.5346,0.5094
block_2500_2,NodeSketch,2,256,0.3,0.56,0.559,0.537,0.5134
block_2500_4,NodeSketch,2,8,0.3,0.51,0.497,0.5167,0.5041
block_2500_4,NodeSketch,2,16,0.3,0.55,0.57,0.532,0.5061
block_2500_4,NodeSketch,2,32,0.3,0.51,0.544,0.54,0.5091
block_2500_4,NodeSketch,2,64,0.3,0.63,0.54,0.5337,0.5125
block_2500_4,NodeSketch,2,128,0.3,0.54,0.569,0.5511,0.5165
block_2500_4,NodeSketch,2,256,0.3,0.6,0.608,0.5659,0.5213
block_2500_8,NodeSketch,2,8,0.3,0.53,0.554,0.5285,0.5106
block_2500_8,NodeSketch,2,16,0.3,0.58,0.563,0.5461,0.5119
block_2500_8,NodeSketch,2,32,0.3,0.52,0.568,0.5545,0.5183
block_2500_8,NodeSketch,2,64,0.3,0.65,0.618,0.5757,0.5229
block_2500_8,NodeSketch,2,128,0.3,0.65,0.591,0.587,0.5283
block_2500_8,NodeSketch,2,256,0.3,0.72,0.658,0.6079,0.5331
block_5000_2,NodeSketch,2,8,0.3,0.5,0.513,0.5097,0.5013
block_5000_2,NodeSketch,2,16,0.3,0.52,0.492,0.5056,0.502
block_5000_2,NodeSketch,2,32,0.3,0.55,0.531,0.5138,0.5024
block_5000_2,NodeSketch,2,64,0.3,0.49,0.49,0.5102,0.5032
block_5000_2,NodeSketch,2,128,0.3,0.46,0.509,0.507,0.5045
block_5000_2,NodeSketch,2,256,0.3,0.59,0.552,0.5229,0.5067
block_5000_4,NodeSketch,2,8,0.3,0.51,0.499,0.4987,0.5026
block_5000_4,NodeSketch,2,16,0.3,0.53,0.523,0.5164,0.5039
block_5000_4,NodeSketch,2,32,0.3,0.52,0.527,0.5185,0.5054
block_5000_4,NodeSketch,2,64,0.3,0.64,0.519,0.5227,0.5066
block_5000_4,NodeSketch,2,128,0.3,0.62,0.556,0.5336,0.5096
block_5000_4,NodeSketch,2,256,0.3,0.6,0.583,0.5463,0.5127
block_5000_8,NodeSketch,2,8,0.3,0.58,0.549,0.5121,0.5052
block_5000_8,NodeSketch,2,16,0.3,0.61,0.544,0.5286,0.5065
block_5000_8,NodeSketch,2,32,0.3,0.55,0.521,0.5315,0.5093
block_5000_8,NodeSketch,2,64,0.3,0.62,0.569,0.5434,0.512
block_5000_8,NodeSketch,2,128,0.3,0.53,0.576,0.5546,0.5161
block_5000_8,NodeSketch,2,256,0.3,0.55,0.606,0.5766,0.5203
blogcatalog,NodeSketch,2,8,0.3,0.04,0.031,0.0298,0.0277
blogcatalog,NodeSketch,2,16,0.3,0.03,0.023,0.0276,0.0292
blogcatalog,NodeSketch,2,32,0.3,0.02,0.009,0.0224,0.034
blogcatalog,NodeSketch,2,64,0.3,0.03,0.016,0.0224,0.0312
blogcatalog,NodeSketch,2,128,0.3,0.03,0.01,0.0185,0.0466
blogcatalog,NodeSketch,2,256,0.3,0.02,0.018,0.0257,0.0406
dblp,NodeSketch,2,8,0.3,1.0,0.996,0.8975,0.5495
dblp,NodeSketch,2,16,0.3,1.0,1.0,0.9381,0.5892
dblp,NodeSketch,2,32,0.3,1.0,1.0,0.9264,0.5974
dblp,NodeSketch,2,64,0.3,1.0,1.0,0.9333,0.589
dblp,NodeSketch,2,128,0.3,1.0,1.0,0.9389,0.6017
dblp,NodeSketch,2,256,0.3,1.0,1.0,0.9415,0.6051
weighted_10000_0005,NodeSketch,2,8,0.3,0.0,0.0,0.0019,0.0108
weighted_10000_0005,NodeSketch,2,16,0.3,0.0,0.0,0.0001,0.0007
weighted_10000_0005,NodeSketch,2,32,0.3,0.0,0.0,0.0,0.0014
weighted_10000_0005,NodeSketch,2,64,0.3,0.0,0.0,0.0001,0.0003
weighted_10000_0005,NodeSketch,2,128,0.3,0.0,0.0,0.0,0.0004
weighted_10000_0005,NodeSketch,2,256,0.3,0.0,0.0,0.0002,0.0005
weighted_10000_001,NodeSketch,2,8,0.3,0.0,0.003,0.0017,0.0075
weighted_10000_001,NodeSketch,2,16,0.3,0.0,0.0,0.001,0.002
weighted_10000_001,NodeSketch,2,32,0.3,0.0,0.0,0.0012,0.0011
weighted_10000_001,NodeSketch,2,64,0.3,0.0,0.002,0.0009,0.0009
weighted_10000_001,NodeSketch,2,128,0.3,0.0,0.001,0.0011,0.0009
weighted_10000_001,NodeSketch,2,256,0.3,0.0,0.001,0.0012,0.0008
weighted_10000_005,NodeSketch,2,8,0.3,0.0,0.004,0.0044,0.0069
weighted_10000_005,NodeSketch,2,16,0.3,0.0,0.007,0.0053,0.0054
weighted_10000_005,NodeSketch,2,32,0.3,0.01,0.009,0.0058,0.0053
weighted_10000_005,NodeSketch,2,64,0.3,0.0,0.002,0.0043,0.0054
weighted_10000_005,NodeSketch,2,128,0.3,0.0,0.003,0.0051,0.0051
weighted_10000_005,NodeSketch,2,256,0.3,0.0,0.005,0.0044,0.005
weighted_10000_01,NodeSketch,2,8,0.3,0.02,0.012,0.0114,0.0104
weighted_10000_01,NodeSketch,2,16,0.3,0.02,0.012,0.0107,0.0105
weighted_10000_01,NodeSketch,2,32,0.3,0.0,0.012,0.01,0.0107
weighted_10000_01,NodeSketch,2,64,0.3,0.01,0.01,0.01,0.0102
weighted_10000_01,NodeSketch,2,128,0.3,0.01,0.007,0.0092,0.0103
weighted_10000_01,NodeSketch,2,256,0.3,0.0,0.004,0.0103,0.0106
weighted_1000_0005,NodeSketch,2,8,0.3,0.06,0.072,0.0072,0.3051
weighted_1000_0005,NodeSketch,2,16,0.3,0.09,0.105,0.0105,0.4449
weighted_1000_0005,NodeSketch,2,32,0.3,0.07,0.122,0.0122,0.5169
weighted_1000_0005,NodeSketch,2,64,0.3,0.05,0.121,0.0121,0.5127
weighted_1000_0005,NodeSketch,2,128,0.3,0.06,0.12,0.012,0.5085
weighted_1000_0005,NodeSketch,2,256,0.3,0.06,0.12,0.012,0.5085
